date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,2,2,0,2
2020-01-25,3,3,0,3
2020-01-26,3,3,0,3
2020-01-27,3,3,0,3
2020-01-28,4,4,0,4
2020-01-29,5,5,0,5
2020-01-30,5,5,0,5
2020-01-31,5,5,0,5
2020-02-01,6,6,0,6
2020-02-02,6,6,0,6
2020-02-03,6,6,0,6
2020-02-04,6,6,0,6
2020-02-05,6,6,0,6
2020-02-06,6,6,0,6
2020-02-07,6,6,0,6
2020-02-08,11,11,0,11
2020-02-09,11,11,0,11
2020-02-10,11,11,0,11
2020-02-11,11,11,0,11
2020-02-12,11,11,0,9
2020-02-13,11,11,0,9
2020-02-14,11,11,0,9
2020-02-15,12,11,1,7
2020-02-16,12,11,1,7
2020-02-17,12,11,1,7
2020-02-18,12,11,1,7
2020-02-19,12,11,1,7
2020-02-20,12,11,1,7
2020-02-21,12,11,1,7
2020-02-22,12,11,1,7
2020-02-23,12,11,1,7
2020-02-24,12,11,1,7
2020-02-25,14,13,1,2
2020-02-26,18,16,2,5
2020-02-27,38,36,2,25
2020-02-28,57,55,2,44
2020-02-29,100,98,2,86
2020-03-01,130,128,2,116
2020-03-02,191,188,3,176
2020-03-03,212,208,4,196
2020-03-04,288,284,4,272
2020-03-05,426,419,7,407
2020-03-06,616,607,9,595
2020-03-07,948,932,16,920
2020-03-08,1125,1106,19,1094
2020-03-09,1411,1386,25,1374
2020-03-10,1783,1750,33,1738
2020-03-11,2293,2245,48,2233
2020-03-12,2293,2245,48,2233
2020-03-13,3681,3602,79,3590
2020-03-14,4496,4405,91,4393
2020-03-15,4532,4441,91,4429
2020-03-16,6683,6534,149,6522
2020-03-17,7715,7566,149,7554
