date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,1,1,0,1
2020-03-04,1,1,0,1
2020-03-05,1,1,0,1
2020-03-06,1,1,0,1
2020-03-07,1,1,0,1
2020-03-08,1,1,0,1
2020-03-09,1,1,0,1
2020-03-10,1,1,0,1
2020-03-11,1,1,0,1
2020-03-12,1,1,0,1
2020-03-13,3,2,1,2
2020-03-14,3,2,1,2
2020-03-15,3,2,1,2
2020-03-16,7,6,1,6
2020-03-17,14,12,2,12
2020-03-18,14,12,2,12
2020-03-19,16,14,2,14
2020-03-20,29,26,3,26
2020-03-21,47,44,3,43
2020-03-22,73,70,3,69
2020-03-23,73,70,3,69
2020-03-24,97,94,3,93
2020-03-25,145,140,5,139
2020-03-26,196,191,5,190
2020-03-27,310,305,5,300
2020-03-28,356,347,9,342
2020-03-29,475,465,10,459
2020-03-30,548,535,13,527
2020-03-31,645,628,17,618
